web_name,now_cost,total_points,ep_next,chance_of_playing_next_round,element_type,team,position,team_name
Skipp,4.5,7,0.0,0.0,3,17,Midfielder,Spurs
Leko,4.5,0,0.0,0.0,3,18,Midfielder,West Brom
Burke,4.5,0,0.0,,3,18,Midfielder,West Brom
Harper,4.5,0,0.0,,3,18,Midfielder,West Brom
Gibbs-White,5.0,11,0.0,0.0,3,20,Midfielder,Wolves
Poveda-Ocampo,4.5,0,-0.5,,3,10,Midfielder,Leeds
Stevens,4.5,0,-0.5,,3,10,Midfielder,Leeds
Forshaw,5.0,0,-0.1,,3,10,Midfielder,Leeds
Phillips,5.0,0,-0.1,,3,10,Midfielder,Leeds
Roberts,5.0,0,-0.1,,3,10,Midfielder,Leeds
Grot,5.0,0,-0.1,,3,10,Midfielder,Leeds
Shackleton,5.0,0,-0.1,,3,10,Midfielder,Leeds
